File,ConfigID,Presolver,Scaling,Pricing,Ratio,Precision,ExitCode,TimeSeconds,Status,Iterations,Difficulty
co-100_LP,C6,1,2,0,3,50,0,48.87912834,optimal,737,easy
co-100_LP,C7,1,2,0,3,25,0,47.54173209,optimal,737,easy
co-100_LP,C8,,,,,,0,9.014,optimal,-1,easy
cod105_LP,C1,0,0,0,1,100,0,535.200563,optimal,12700,easy
cod105_LP,C2,1,2,0,3,100,0,363.1199334,optimal,3527,easy
cod105_LP,C3,2,2,5,3,100,0,604.6680212,optimal,4740,easy
cod105_LP,C4,1,4,3,3,100,0,359.2897938,optimal,3527,easy
cod105_LP,C5,1,2,0,3,100,0,354.1402196,optimal,3527,easy
cod105_LP,C6,1,2,0,3,50,0,210.0723882,optimal,3866,easy
cod105_LP,C7,1,2,0,3,25,0,216.1107873,optimal,3866,easy
cod105_LP,C8,,,,,,0,106.234,optimal,-1,easy
comp07-2idx_LP,C1,0,0,0,1,100,0,480.1965608,optimal,18287,easy
comp07-2idx_LP,C2,1,2,0,3,100,0,207.6373804,optimal,10893,easy
comp07-2idx_LP,C3,2,2,5,3,100,0,132.1707499,optimal,4092,easy
comp07-2idx_LP,C4,1,4,3,3,100,0,251.1382192,optimal,13694,easy
comp07-2idx_LP,C5,1,2,0,3,100,0,206.7485796,optimal,10893,easy
comp07-2idx_LP,C6,1,2,0,3,50,0,109.079743,optimal,10865,easy
comp07-2idx_LP,C7,1,2,0,3,25,0,105.7438815,optimal,10865,easy
comp07-2idx_LP,C8,,,,,,0,2.296,optimal,-1,easy
comp21-2idx_LP,C1,0,0,0,1,100,0,6.897165026,optimal,2563,easy
comp21-2idx_LP,C2,1,2,0,3,100,0,49.85331191,optimal,5300,easy
comp21-2idx_LP,C3,2,2,5,3,100,0,40.35791911,optimal,2431,easy
comp21-2idx_LP,C4,1,4,3,3,100,0,48.33524406,optimal,5300,easy
comp21-2idx_LP,C5,1,2,0,3,100,0,48.6153637,optimal,5300,easy
comp21-2idx_LP,C6,1,2,0,3,50,0,33.62585722,optimal,6350,easy
comp21-2idx_LP,C7,1,2,0,3,25,0,34.51991996,optimal,6350,easy
comp21-2idx_LP,C8,,,,,,0,0.937,optimal,-1,easy
cost266-UUE_LP,C1,0,0,0,1,100,0,0.765520004,optimal,1372,easy
cost266-UUE_LP,C2,1,2,0,3,100,0,4.131863813,optimal,2056,easy
cost266-UUE_LP,C3,2,2,5,3,100,0,4.241222425,optimal,1710,easy
cost266-UUE_LP,C4,1,4,3,3,100,0,2.346105601,optimal,1746,easy
cost266-UUE_LP,C5,1,2,0,3,100,0,4.235704501,optimal,2056,easy
cost266-UUE_LP,C6,1,2,0,3,50,0,2.200319988,optimal,2158,easy
cost266-UUE_LP,C7,1,2,0,3,25,0,2.24623176,optimal,2158,easy
cost266-UUE_LP,C8,,,,,,0,0.077,optimal,-1,easy
cryptanalysiskb128n5obj14_LP,C1,0,0,0,1,100,0,231.5196045,optimal,43639,hard
cryptanalysiskb128n5obj14_LP,C2,1,2,0,3,100,124,750.050482,timeout,-2,hard
cryptanalysiskb128n5obj14_LP,C3,2,2,5,3,100,124,750.0831939,timeout,-2,hard
cryptanalysiskb128n5obj14_LP,C4,1,4,3,3,100,124,750.050302,timeout,-2,hard
cryptanalysiskb128n5obj14_LP,C5,1,2,0,3,100,124,750.0504257,timeout,-2,hard
cryptanalysiskb128n5obj14_LP,C6,1,2,0,3,50,124,750.0428926,timeout,-2,hard
cryptanalysiskb128n5obj14_LP,C7,1,2,0,3,25,124,750.0432162,timeout,-2,hard
cryptanalysiskb128n5obj14_LP,C8,,,,,,0,135.234,optimal,-1,hard
cryptanalysiskb128n5obj16_LP,C1,0,0,0,1,100,0,221.7328703,optimal,43517,easy
cryptanalysiskb128n5obj16_LP,C2,1,2,0,3,100,124,750.0514741,timeout,-2,easy
cryptanalysiskb128n5obj16_LP,C3,2,2,5,3,100,0,743.7087107,optimal,46761,easy
cryptanalysiskb128n5obj16_LP,C4,1,4,3,3,100,124,750.0506634,timeout,-2,easy
cryptanalysiskb128n5obj16_LP,C5,1,2,0,3,100,124,750.050264,timeout,-2,easy
cryptanalysiskb128n5obj16_LP,C6,1,2,0,3,50,124,750.0417833,timeout,-2,easy
cryptanalysiskb128n5obj16_LP,C7,1,2,0,3,25,124,750.043483,timeout,-2,easy
cryptanalysiskb128n5obj16_LP,C8,,,,,,0,123.405,optimal,-1,easy
csched007_LP,C1,0,0,0,1,100,0,48.45001763,optimal,12031,easy
csched007_LP,C2,1,2,0,3,100,0,9.478354869,optimal,2985,easy
csched007_LP,C3,2,2,5,3,100,0,3.313923859,optimal,1006,easy
csched007_LP,C4,1,4,3,3,100,0,39.57844522,optimal,9359,easy
csched007_LP,C5,1,2,0,3,100,0,9.286266991,optimal,2985,easy
csched007_LP,C6,1,2,0,3,50,0,3.675096615,optimal,2912,easy
csched007_LP,C7,1,2,0,3,25,0,3.679471326,optimal,2912,easy
csched007_LP,C8,,,,,,0,0.031,optimal,-1,easy
csched008_LP,C1,0,0,0,1,100,0,42.71044573,optimal,10861,easy
csched008_LP,C2,1,2,0,3,100,0,4.749772876,optimal,1689,easy
csched008_LP,C3,2,2,5,3,100,0,2.705212298,optimal,910,easy
csched008_LP,C4,1,4,3,3,100,0,28.46584855,optimal,6498,easy
csched008_LP,C5,1,2,0,3,100,0,4.836929245,optimal,1689,easy
csched008_LP,C6,1,2,0,3,50,0,1.64994497,optimal,1378,easy
csched008_LP,C7,1,2,0,3,25,0,1.698650885,optimal,1378,easy
csched008_LP,C8,,,,,,0,0.046,optimal,-1,easy
cvs16r128-89_LP,C1,0,0,0,1,100,0,95.26634886,optimal,11978,easy
cvs16r128-89_LP,C2,1,2,0,3,100,0,95.8668231,optimal,11266,easy
cvs16r128-89_LP,C3,2,2,5,3,100,0,65.74992367,optimal,6724,easy
cvs16r128-89_LP,C4,1,4,3,3,100,0,353.6315603,optimal,34480,easy
cvs16r128-89_LP,C5,1,2,0,3,100,0,93.34268534,optimal,11266,easy
cvs16r128-89_LP,C6,1,2,0,3,50,0,48.55808596,optimal,11676,easy
cvs16r128-89_LP,C7,1,2,0,3,25,0,49.70069099,optimal,11676,easy
cvs16r128-89_LP,C8,,,,,,0,5.093,optimal,-1,easy
dano3_3_LP,C1,0,0,0,1,100,124,750.011557,timeout,-2,easy
dano3_3_LP,C2,1,2,0,3,100,124,750.0157451,timeout,-2,easy
dano3_3_LP,C3,2,2,5,3,100,0,748.5352672,timeout,17296,easy
dano3_3_LP,C4,1,4,3,3,100,124,750.0160482,timeout,-2,easy
dano3_3_LP,C5,1,2,0,3,100,124,750.0158694,timeout,-2,easy
dano3_3_LP,C6,1,2,0,3,50,124,750.0129968,timeout,-2,easy
dano3_3_LP,C7,1,2,0,3,25,124,750.013472,timeout,-2,easy
dano3_3_LP,C8,,,,,,0,538.172,optimal,-1,easy
dano3_5_LP,C1,0,0,0,1,100,124,750.0117648,timeout,-2,easy
dano3_5_LP,C2,1,2,0,3,100,124,750.0150625,timeout,-2,easy
dano3_5_LP,C3,2,2,5,3,100,0,747.9107679,optimal,17257,easy
dano3_5_LP,C4,1,4,3,3,100,124,750.0144966,timeout,-2,easy
dano3_5_LP,C5,1,2,0,3,100,124,750.0149507,timeout,-2,easy
dano3_5_LP,C6,1,2,0,3,50,124,750.0128726,timeout,-2,easy
dano3_5_LP,C7,1,2,0,3,25,124,750.0134021,timeout,-2,easy
dano3_5_LP,C8,,,,,,0,529.218,optimal,-1,easy
decomp2_LP,C1,0,0,0,1,100,0,20.80826712,optimal,5122,easy
decomp2_LP,C2,1,2,0,3,100,0,14.12775512,optimal,4111,easy
decomp2_LP,C3,2,2,5,3,100,0,8.319522027,optimal,3959,easy
decomp2_LP,C4,1,4,3,3,100,0,39.95275315,optimal,5857,easy
decomp2_LP,C5,1,2,0,3,100,0,13.78632217,optimal,4111,easy
decomp2_LP,C6,1,2,0,3,50,0,7.265538278,optimal,4178,easy
decomp2_LP,C7,1,2,0,3,25,0,7.364270371,optimal,4178,easy
decomp2_LP,C8,,,,,,0,0.218,optimal,-1,easy
drayage-100-23_LP,C1,0,0,0,1,100,0,16.09183111,optimal,3854,easy
drayage-100-23_LP,C2,1,2,0,3,100,0,10.70711683,optimal,1201,easy
drayage-100-23_LP,C3,2,2,5,3,100,0,6.449200463,optimal,823,easy
drayage-100-23_LP,C4,1,4,3,3,100,0,10.10116959,optimal,1045,easy
drayage-100-23_LP,C5,1,2,0,3,100,0,10.57984552,optimal,1201,easy
drayage-100-23_LP,C6,1,2,0,3,50,0,6.835406917,optimal,1384,easy
drayage-100-23_LP,C7,1,2,0,3,25,0,6.863080065,optimal,1384,easy
drayage-100-23_LP,C8,,,,,,0,0.186,optimal,-1,easy
drayage-25-23_LP,C1,0,0,0,1,100,0,21.17682827,optimal,4827,easy
drayage-25-23_LP,C2,1,2,0,3,100,0,10.67734444,optimal,1159,easy
drayage-25-23_LP,C3,2,2,5,3,100,0,7.48777275,optimal,935,easy
drayage-25-23_LP,C4,1,4,3,3,100,0,10.55582778,optimal,1054,easy
drayage-25-23_LP,C5,1,2,0,3,100,0,10.7740124,optimal,1159,easy
drayage-25-23_LP,C6,1,2,0,3,50,0,5.043231573,optimal,1339,easy
drayage-25-23_LP,C7,1,2,0,3,25,0,5.034674433,optimal,1339,easy
drayage-25-23_LP,C8,,,,,,0,0.249,optimal,-1,easy
dws008-01_LP,C1,0,0,0,1,100,0,0.70873871,optimal,343,easy
dws008-01_LP,C2,1,2,0,3,100,0,3.897213228,optimal,279,easy
dws008-01_LP,C3,2,2,5,3,100,0,1.777319605,optimal,229,easy
dws008-01_LP,C4,1,4,3,3,100,0,4.610092682,optimal,324,easy
dws008-01_LP,C5,1,2,0,3,100,0,4.025409714,optimal,279,easy
dws008-01_LP,C6,1,2,0,3,50,0,2.153927435,optimal,300,easy
dws008-01_LP,C7,1,2,0,3,25,0,2.052416333,optimal,300,easy
dws008-01_LP,C8,,,,,,0,0.124,optimal,-1,easy
eil33-2_LP,C1,0,0,0,1,100,0,4.990830591,optimal,326,easy
eil33-2_LP,C2,1,2,0,3,100,0,6.56448181,optimal,325,easy
eil33-2_LP,C3,2,2,5,3,100,0,72.8488089,optimal,4952,easy
